#  HII-CHI-mistry v.5.1 output file
# Input file:SDSSJ0228_input.dat
# Iterations for MonteCarlo: 25
# Used models: Double composite AGN, a(OX) = -1.2. No interpolation
# 
# ID   O2Hb eO2Hb  Ne3Hb  eNeHb O3aHb  eO3aHb O3nHb  eO3nHb N2Hb   eN2Hb  S2Hb   eS2Hb  i O/H     eO/H  N/O    eN/O  logU   elogU
1 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.53 0.27 -1.24 0.47 -1.44 0.18
2 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.48 0.32 -1.23 0.47 -1.45 0.26
3 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.49 0.31 -1.17 0.45 -1.45 0.29
4 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.40 0.32 -1.20 0.60 -1.52 0.27
5 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.53 0.26 -1.45 0.37 -1.37 0.23
6 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.55 0.25 -1.30 0.40 -1.41 0.16
7 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.49 0.29 -1.39 0.45 -1.40 0.28
8 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.41 0.34 -1.13 0.59 -1.50 0.25
9 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.49 0.27 -1.19 0.47 -1.46 0.27
10 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.41 0.33 -1.05 0.56 -1.57 0.25
11 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.43 0.34 -1.17 0.47 -1.46 0.33
12 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.527 1.492 2 8.22 0.35 -1.11 0.50 -1.46 0.28
13 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.527 1.492 2 8.17 0.36 -1.01 0.46 -1.56 0.33
14 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.19 0.34 -1.02 0.53 -1.60 0.31
15 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.28 0.32 -0.96 0.54 -1.50 0.32
16 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.18 0.35 -0.87 0.48 -1.58 0.24
17 0.000 0.000 0.000 0.000 0.000 0.000 1.166 1.299 0.603 0.915 0.230 0.896 2 8.20 0.30 -0.69 0.41 -1.61 0.26
18 0.000 0.000 0.000 0.000 0.000 0.000 1.166 1.299 0.603 0.915 0.230 0.896 2 8.19 0.32 -0.69 0.54 -1.60 0.27
19 0.000 0.000 0.000 0.000 0.000 0.000 1.166 1.299 0.603 0.915 0.230 0.896 2 8.22 0.32 -0.70 0.41 -1.55 0.29
20 0.000 0.000 0.000 0.000 0.000 0.000 -3.023 9.683 -2.006 6.420 -0.801 3.917 3 8.86 0.14 -0.82 0.49 -1.45 0.32
21 0.000 0.000 0.000 0.000 0.000 0.000 -3.023 9.683 -2.006 6.420 -0.801 3.917 3 8.76 0.16 -0.94 0.39 -1.50 0.31
22 0.000 0.000 0.000 0.000 0.000 0.000 -3.023 9.683 -2.006 6.420 -0.801 3.917 3 8.83 0.09 -0.87 0.33 -1.44 0.26
23 0.000 0.000 0.000 0.000 0.000 0.000 -7.407 49.398 -6.533 41.453 -2.933 20.910 3 8.87 0.05 -0.74 0.34 -1.39 0.17
24 0.000 0.000 0.000 0.000 0.000 0.000 -7.407 49.398 -6.533 41.453 -2.933 20.910 3 8.87 0.05 -0.78 0.32 -1.43 0.21
25 0.000 0.000 0.000 0.000 0.000 0.000 7.368 27.282 1.330 5.003 1.677 8.310 2 8.54 0.29 -0.81 0.50 -1.56 0.27
26 0.000 0.000 0.000 0.000 0.000 0.000 -0.855 1.267 -0.271 0.426 -0.172 0.617 3 8.35 0.22 -0.96 0.42 -1.52 0.32
27 0.000 0.000 0.000 0.000 0.000 0.000 0.444 0.342 0.082 0.102 0.085 0.283 2 7.81 0.40 -0.77 0.50 -1.70 0.30
28 0.000 0.000 0.000 0.000 0.000 0.000 0.432 15294813.613 0.000 0.000 0.111 0.375 2 8.07 0.46 -1.66 0.23 -1.86 0.01
29 0.000 0.000 0.000 0.000 0.000 0.000 1.389 2.752 1.383 1.165 0.324 1.107 2 8.32 0.34 -0.57 0.39 -1.62 0.28
