#  HII-CHI-mistry v.5.1 output file
# Input file:SDSSJ0228_input.dat
# Iterations for MonteCarlo: 25
# Used models: Double composite AGN, a(OX) = -1.2. No interpolation
# 
# ID   O2Hb eO2Hb  Ne3Hb  eNeHb O3aHb  eO3aHb O3nHb  eO3nHb N2Hb   eN2Hb  S2Hb   eS2Hb  i O/H     eO/H  N/O    eN/O  logU   elogU
1 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.45 0.31 -1.07 0.59 -1.52 0.25
2 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.39 0.34 -0.96 0.50 -1.52 0.24
3 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.47 0.31 -1.08 0.45 -1.57 0.30
4 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.52 0.29 -1.27 0.44 -1.45 0.21
5 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.55 0.26 -1.31 0.43 -1.44 0.22
6 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.44 0.33 -1.13 0.56 -1.55 0.28
7 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.60 0.22 -1.49 0.36 -1.33 0.15
8 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.55 0.26 -1.18 0.47 -1.49 0.25
9 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.52 0.27 -1.30 0.58 -1.52 0.24
10 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.48 0.33 -1.28 0.50 -1.41 0.30
11 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.49 0.28 -1.16 0.50 -1.49 0.27
12 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.527 1.492 2 8.17 0.34 -0.88 0.46 -1.52 0.33
13 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.527 1.492 2 8.26 0.31 -0.99 0.51 -1.54 0.22
14 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.24 0.31 -0.97 0.51 -1.41 0.23
15 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.32 0.32 -1.06 0.49 -1.50 0.32
16 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.15 0.34 -0.99 0.50 -1.56 0.33
17 0.000 0.000 0.000 0.000 0.000 0.000 1.166 1.299 0.603 0.915 0.230 0.896 2 8.15 0.28 -0.61 0.32 -1.47 0.33
18 0.000 0.000 0.000 0.000 0.000 0.000 1.166 1.299 0.603 0.915 0.230 0.896 2 8.14 0.35 -0.60 0.46 -1.66 0.31
19 0.000 0.000 0.000 0.000 0.000 0.000 1.166 1.299 0.603 0.915 0.230 0.896 2 8.12 0.35 -0.68 0.50 -1.57 0.31
20 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3 0.00 0.00 -10.00 0.00 0.00 0.00
21 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3 0.00 0.00 -10.00 0.00 0.00 0.00
22 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3 0.00 0.00 -10.00 0.00 0.00 0.00
23 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3 0.00 0.00 -10.00 0.00 0.00 0.00
24 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3 0.00 0.00 -10.00 0.00 0.00 0.00
25 0.000 0.000 0.000 0.000 0.000 0.000 7.368 27.282 1.330 5.003 1.677 8.310 2 8.57 0.26 -0.93 0.52 -1.63 0.24
26 0.000 0.000 0.000 0.000 0.000 0.000 0.150 0.091 0.048 0.038 0.030 0.101 2 7.72 0.41 -0.92 0.42 -1.69 0.27
27 0.000 0.000 0.000 0.000 0.000 0.000 0.444 0.342 0.082 0.102 0.085 0.283 2 7.81 0.40 -0.92 0.42 -1.58 0.38
28 0.000 0.000 0.000 0.000 0.000 0.000 0.432 15294813.613 0.000 0.000 0.111 0.375 2 8.07 0.46 -1.69 0.20 -1.87 0.01
29 0.000 0.000 0.000 0.000 0.000 0.000 1.389 2.752 1.383 1.165 0.324 1.107 2 8.32 0.29 -0.48 0.30 -1.59 0.30
30 0.000 0.000 0.000 0.000 0.000 0.000 0.729 12.411 0.641 0.722 0.201 0.697 2 8.35 0.37 -0.49 0.40 -1.92 0.22
31 0.000 0.000 0.000 0.000 0.000 0.000 0.909 15.691 0.496 0.525 0.228 0.769 2 8.26 0.40 -0.59 0.43 -1.91 0.21
32 0.000 0.000 0.000 0.000 0.000 0.000 0.909 15.691 0.496 0.525 0.228 0.769 2 8.29 0.40 -0.87 0.39 -1.97 0.20
33 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3 0.00 0.00 -10.00 0.00 0.00 0.00
34 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3 0.00 0.00 -10.00 0.00 0.00 0.00
35 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3 0.00 0.00 -10.00 0.00 0.00 0.00
36 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.15 0.30 -0.56 0.52 -1.31 0.38
37 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.37 0.27 -0.80 0.50 -1.35 0.35
38 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.28 0.30 -0.68 0.46 -1.39 0.37
39 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.28 0.28 -0.65 0.52 -1.41 0.32
40 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.43 0.30 -0.73 0.38 -1.59 0.32
41 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.42 0.30 -0.59 0.36 -1.46 0.28
42 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.39 0.29 -0.52 0.35 -1.55 0.31
43 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.37 0.34 -0.78 0.58 -1.45 0.33
44 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.47 0.29 -0.78 0.37 -1.50 0.30
45 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.45 0.32 -0.89 0.38 -1.50 0.34
46 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.39 0.29 -0.79 0.55 -1.46 0.35
47 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.42 0.27 -0.86 0.50 -1.52 0.28
48 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.47 0.26 -0.86 0.58 -1.32 0.28
49 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.51 0.28 -0.97 0.43 -1.33 0.18
50 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.40 0.35 -0.56 0.21 -1.49 0.38
51 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.51 0.27 -1.22 0.51 -1.49 0.31
52 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.48 0.30 -1.12 0.47 -1.48 0.29
53 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.51 0.28 -1.21 0.44 -1.41 0.23
54 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.45 0.29 -1.07 0.46 -1.53 0.29
55 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.59 0.22 -1.17 0.52 -1.53 0.24
56 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.55 0.28 -1.39 0.40 -1.40 0.18
57 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.50 0.30 -1.37 0.55 -1.42 0.18
58 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.50 0.26 -1.08 0.53 -1.43 0.26
59 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.54 0.23 -1.30 0.48 -1.45 0.20
60 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.48 0.32 -1.27 0.43 -1.43 0.20
61 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.52 0.28 -1.23 0.54 -1.49 0.22
62 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.527 1.492 2 8.09 0.34 -0.85 0.49 -1.45 0.32
63 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.527 1.492 2 8.22 0.34 -0.99 0.56 -1.38 0.24
64 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.19 0.32 -1.00 0.45 -1.52 0.34
65 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.19 0.32 -0.98 0.47 -1.47 0.31
66 0.000 0.000 0.000 0.000 0.000 0.000 0.760 1.535 0.276 0.566 0.308 1.264 2 8.16 0.33 -0.95 0.56 -1.33 0.31
67 0.000 0.000 0.000 0.000 0.000 0.000 1.166 1.299 0.603 0.915 0.230 0.896 2 8.18 0.33 -0.68 0.50 -1.60 0.29
68 0.000 0.000 0.000 0.000 0.000 0.000 1.166 1.299 0.603 0.915 0.230 0.896 2 8.15 0.34 -0.61 0.52 -1.54 0.31
69 0.000 0.000 0.000 0.000 0.000 0.000 1.166 1.299 0.603 0.915 0.230 0.896 2 8.20 0.33 -0.61 0.41 -1.60 0.26
70 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3 0.00 0.00 -10.00 0.00 0.00 0.00
71 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3 0.00 0.00 -10.00 0.00 0.00 0.00
72 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3 0.00 0.00 -10.00 0.00 0.00 0.00
73 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3 0.00 0.00 -10.00 0.00 0.00 0.00
74 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 3 0.00 0.00 -10.00 0.00 0.00 0.00
75 0.000 0.000 0.000 0.000 0.000 0.000 4.710 8.875 3.987 7.344 0.869 3.291 2 8.59 0.24 -0.45 0.44 -1.41 0.33
76 0.000 0.000 0.000 0.000 0.000 0.000 0.968 0.725 0.410 0.383 0.135 0.457 2 7.97 0.33 -0.64 0.48 -1.65 0.28
77 0.000 0.000 0.000 0.000 0.000 0.000 0.096 0.077 0.757 0.710 0.158 0.543 2 7.82 0.33 -0.46 0.43 -1.11 0.26
78 0.000 0.000 0.000 0.000 0.000 0.000 1.371 0.834 1.036 0.599 0.147 0.496 2 8.01 0.35 -0.40 0.31 -1.71 0.28
79 0.000 0.000 0.000 0.000 0.000 0.000 1.129 0.850 1.264 0.895 0.167 0.568 2 8.15 0.33 -0.41 0.32 -1.63 0.27
80 0.000 0.000 0.000 0.000 0.000 0.000 0.640 0.605 0.374 0.336 0.149 0.506 2 8.01 0.33 -0.88 0.49 -1.62 0.33
81 0.000 0.000 0.000 0.000 0.000 0.000 0.443 9.034 0.667 0.414 0.111 0.375 2 7.98 0.39 -0.35 0.27 -1.89 0.24
82 0.000 0.000 0.000 0.000 0.000 0.000 0.497 0.264 0.236 0.167 0.115 0.384 2 7.89 0.36 -0.70 0.36 -1.64 0.27
83 0.000 0.000 0.000 0.000 0.000 0.000 0.639 0.587 0.281 0.293 0.115 0.389 2 7.86 0.32 -0.62 0.39 -1.60 0.35
84 0.000 0.000 0.000 0.000 0.000 0.000 0.639 0.587 0.281 0.293 0.115 0.389 2 7.97 0.33 -0.71 0.44 -1.64 0.27
85 0.000 0.000 0.000 0.000 0.000 0.000 0.639 0.587 0.281 0.293 0.063 0.354 2 7.88 0.37 -0.58 0.43 -1.70 0.32
86 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.25 0.31 -0.52 0.41 -1.47 0.35
87 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.18 0.35 -0.78 0.54 -1.51 0.33
88 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.27 0.32 -0.64 0.39 -1.43 0.38
89 0.000 0.000 0.000 0.000 0.000 0.000 0.853 1.678 0.728 1.595 0.308 1.779 2 8.22 0.32 -0.58 0.40 -1.46 0.38
90 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.31 0.35 -0.62 0.50 -1.54 0.34
91 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.42 0.30 -0.67 0.40 -1.65 0.32
92 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.43 0.29 -0.75 0.47 -1.54 0.33
93 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.373 2.346 2 8.37 0.33 -0.66 0.41 -1.46 0.35
94 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.40 0.33 -0.79 0.52 -1.53 0.33
95 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.37 0.35 -0.71 0.60 -1.54 0.30
96 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.37 0.34 -0.80 0.44 -1.48 0.37
97 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.44 0.28 -0.86 0.53 -1.34 0.32
98 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.47 0.27 -0.90 0.50 -1.41 0.28
99 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.46 0.27 -0.72 0.50 -1.39 0.32
100 0.000 0.000 0.000 0.000 0.000 0.000 1.049 3.860 0.546 2.498 0.891 3.287 2 8.51 0.30 -0.86 0.41 -1.40 0.30
101 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.58 0.26 -1.29 0.40 -1.44 0.20
102 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.40 0.35 -1.13 0.57 -1.54 0.34
103 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.48 0.31 -1.17 0.54 -1.50 0.32
104 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.43 0.33 -1.11 0.51 -1.47 0.26
105 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.57 0.23 -1.37 0.46 -1.41 0.20
106 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.47 0.31 -1.19 0.60 -1.46 0.23
107 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.45 0.31 -1.24 0.50 -1.46 0.24
108 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.46 0.31 -1.27 0.53 -1.50 0.25
109 0.000 0.000 0.000 0.000 0.000 0.000 1.310 6.741 0.242 1.614 1.306 6.805 2 8.47 0.28 -1.12 0.52 -1.49 0.23
