#  HII-CHI-mistry v.5.1 output file
# Input file:SDSSJ0228_input.dat
# Iterations for MonteCarlo: 25
# Used models: Double composite AGN, a(OX) = -1.2. No interpolation
# 
# ID   O2Hb eO2Hb  Ne3Hb  eNeHb O3aHb  eO3aHb O3nHb  eO3nHb N2Hb   eN2Hb  S2Hb   eS2Hb  i O/H     eO/H  N/O    eN/O  logU   elogU
1 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.34 0.34 -0.98 0.59 -1.38 0.33
2 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.34 0.32 -1.01 0.54 -1.54 0.33
3 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.27 0.35 -0.77 0.46 -1.46 0.35
4 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.29 0.34 -1.04 0.56 -1.40 0.31
5 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.37 0.32 -0.96 0.51 -1.46 0.23
6 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.31 0.32 -0.90 0.64 -1.40 0.31
7 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.37 0.30 -0.99 0.41 -1.36 0.29
8 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.29 0.32 -1.08 0.50 -1.45 0.34
9 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.36 0.31 -1.21 0.51 -1.46 0.34
10 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.36 0.29 -0.96 0.52 -1.46 0.29
11 0.000 0.000 0.000 0.000 0.000 0.000 0.149 2.992 0.027 1.164 0.148 3.170 2 8.40 0.30 -1.17 0.43 -1.39 0.40
12 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.024 1.249 2 8.05 0.36 -1.15 0.46 -1.38 0.36
13 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.024 1.249 2 8.07 0.36 -1.12 0.60 -1.41 0.36
14 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.014 1.170 2 8.00 0.36 -1.20 0.41 -1.39 0.37
15 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.014 1.170 2 8.12 0.38 -1.33 0.37 -1.42 0.34
16 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.986 0.013 0.373 0.014 1.170 2 8.01 0.33 -1.11 0.49 -1.31 0.33
17 0.000 0.000 0.000 0.000 0.000 0.000 0.040 0.760 0.021 0.735 0.008 0.872 2 8.05 0.36 -0.83 0.47 -1.47 0.33
18 0.000 0.000 0.000 0.000 0.000 0.000 0.040 0.760 0.021 0.735 0.008 0.872 2 8.03 0.31 -0.70 0.52 -1.35 0.27
19 0.000 0.000 0.000 0.000 0.000 0.000 0.040 0.760 0.021 0.735 0.008 0.872 2 8.00 0.32 -0.86 0.49 -1.45 0.29
20 0.000 0.000 0.000 0.000 0.000 0.000 0.359 2.799 0.238 1.829 0.095 3.051 2 8.42 0.29 -0.87 0.58 -1.50 0.27
21 0.000 0.000 0.000 0.000 0.000 0.000 0.359 2.799 0.238 1.829 0.095 3.051 2 8.39 0.31 -0.90 0.46 -1.42 0.33
22 0.000 0.000 0.000 0.000 0.000 0.000 0.359 2.799 0.238 1.829 0.095 3.051 2 8.34 0.33 -0.90 0.60 -1.37 0.34
