tar_name W80_ave vout_ave W80_max vout_max vesc log_mstar log_mbh log_LO3 log_LAGN f_W80_med f_W80_med_err f_vout_med f_vout_med_err f_W80_max f_W80_max_err f_vout_max f_vout_max_err
J095155 317 195.5 415 402.5 642.1496535062521 11.0 7.7 42.3 44.45228834438306 0.4936543970227551 0.4132046772883611 0.30444616598721963 0.5496014991310779 0.6462667973641747 0.3703562708664138 0.6268009299736875 0.37433987089302423
J101927 555 325.5 579 518.5 642.1496535062521 11.0 8.52 42.5 44.65228834438306 0.8642845121376312 0.3412166975914869 0.5068911868482864 0.40814610581248173 0.9016589775273666 0.3380739421198871 0.8074441793574086 0.3467873422448313
J102143 576 348.0 1152 804.0 567.0694520721158 10.8 8.62 42.5 44.65228834438306 1.0157485963937067 0.3350144814809715 0.6136814436545311 0.3933259480630298 2.0314971927874135 0.3064704813305259 1.4178157491328822 0.3167826869194465
J103600 491 292.5 585 573.5 727.1705008820666 11.2 7.94 42.8 44.95228834438306 0.6752199097796336 0.3550844641035498 0.4022440399400058 0.43262092743209146 0.8044880798800116 0.3408151253868285 0.7886733569421994 0.34221877290753167
J103915 673 432.5 1057 768.5 470.58302003602796 10.5 7.4 42.4 44.55228834438306 1.4301408494264731 0.31986923118570076 0.919072685552674 0.3574006294781594 2.246149892784223 0.3027914760318482 1.633080598490705 0.31328545069846164
J111100 736 404.0 1116 760.0 823.4481393330348 11.4 8.96 42.8 44.95228834438306 0.8938024932525018 0.3314148532798966 0.4906198468396885 0.38014504611575145 1.3552766066165653 0.3184123280035865 0.9229482267281269 0.330009566969645
J124321 406 275.0 645 621.5 567.0694520721158 10.8 7.53 42.3 44.45228834438306 0.7159616842636196 0.37008160090340303 0.48494941668102315 0.44150660053785507 1.137426813670036 0.32755247530277914 1.0959856816991123 0.32983457825672474
J124859_a 903 499.5 1569 962.5 727.1705008820666 11.2 8.89 42.7 44.85228834438306 1.2417995489429923 0.3200312107131406 0.6869090528206253 0.3534843815063791 2.1576782860371595 0.309478009191302 1.3236235502299336 0.3181662693735228
J130116 334 227.0 405 369.5 567.0694520721158 10.8 7.67 42.4 44.55228834438306 0.5889931097144063 0.4005370304665753 0.40030370031488094 0.49498856272910446 0.7141982318393251 0.3704097141697919 0.6515956707768656 0.3835989467798676
J133152 834 667.0 1001 834.5 603.4429982708307 10.9 7.85 43.4 45.55228834438306 1.3820692300512754 0.3172010595236939 1.105323952570984 0.32738042221791636 1.6588145075315666 0.3115364769326033 1.382897808726366 0.31717906842737525
J141926 385 252.5 529 468.5 603.4429982708307 10.9 7.59 42.8 44.95228834438306 0.6380055798198333 0.3789693974995705 0.4184322309207998 0.4647768498915097 0.8766362382459528 0.34338922558823143 0.776378218559979 0.35478797227584047
J142237 476 309.0 714 571.0 642.1496535062521 11.0 8.71 42.6 44.75228834438306 0.7412602302297522 0.35479833967108976 0.4811962418928433 0.418289253627404 1.1118903453446283 0.3256086244292051 0.8892008223974548 0.3390807708431422
J143046 565 307.5 687 588.5 727.1705008820666 11.2 8.38 42.5 44.65228834438306 0.7769842139012078 0.3433078256907293 0.42287193942410867 0.4220777254209608 0.944757796371911 0.3311320805404661 0.8093012564263022 0.34040307982100415
J150754 488 281.0 659 549.5 567.0694520721158 10.8 7.51 42.3 44.45228834438306 0.8605647830557793 0.34904680836898405 0.49553013122679096 0.4363518394143993 1.162115147610161 0.3263007179866095 0.969017107149899 0.3385945236926694
J151147 408 240.0 528 504.0 603.4429982708307 10.9 7.65 43.1 45.25228834438306 0.6761201988740052 0.37098560853773155 0.39771776404353243 0.4791619269014787 0.8749790808957714 0.34354898378259496 0.8352073044914181 0.3476476769575468
J152133 331 224.5 520 414.0 876.266588341053 11.5 8.0 42.5 44.65228834438306 0.3777389260346544 0.4123449047263679 0.2562005706790934 0.5067646315369527 0.5934267115952275 0.3550387648612418 0.4724589588469696 0.3786236686453584
J152637 468 271.0 517 406.5 603.4429982708307 10.9 7.49 42.5 44.65228834438306 0.7755496398848882 0.35489914160596114 0.4490896418991554 0.4463897042195592 0.8567503500437762 0.3453627507195484 0.6736344628487331 0.37147017722267234
